SID,C_org,Texture,LayerDepth,BulkDensityClass,Stone,C/N,C/S,RootDepth,NumberHorizon,FieldCapacity,WiltingPoint,PoreVolume,Sand,Silt,Clay,DrainageDepth,Drainage%,GroundWaterLevel
121,1.19,TU2,03,1,00,10,00,13,02,39,25,53,19,32,49,20,00,99
121,0.55,TU2,20,1,00,10,00,,,36,25,53,21,32,47,20,00,   
122,4.59,LS2,03,1,00,10,00,10,02,34,15,68,38,42,20,20,00,99
122,0.67,LT2,20,2,00,10,00,,,31,19,49,38,32,30,20,00,   
123,0.98,LS3,03,2,00,10,00,05,02,29,15,46,47,34,19,20,00,99
123,0.40,LS3,20,2,00,10,00,,,25,15,46,51,31,18,20,00,   
124,33.6,TU3,03,1,00,10,00,10,02,40,21,90,20,40,40,20,00,99
124,32.9,LU,20,1,00,10,00,,,37,16,89,47,26,27,20,00,   
125,0.99,LS2,03,2,00,10,00,10,02,30,17,47,37,44,19,20,00,99
125,0.28,LT2,20,2,00,10,00,,,30,22,50,31,38,31,20,00,   
126,0.41,SL2,03,3,00,10,00,13,02,18,08,37,79,15,06,20,00,99
126,0.17,SL2,20,3,00,10,00,,,15,08,37,79,15,06,20,00,   
127,0.41,SL2,03,3,00,10,00,10,02,18,08,37,79,15,06,20,00,99
127,0.17,SL2,20,3,00,10,00,,,15,08,37,79,15,06,20,00,   
128,0.75,LS3,03,2,00,10,00,10,02,29,16,47,44,35,21,20,00,99
128,0.47,LU,20,2,00,10,00,,,29,18,48,40,35,25,20,00,   
129,1.17,TL,03,1,00,10,00,10,02,39,24,53,23,29,48,20,00,99
129,0.57,TL,20,1,00,10,00,,,36,23,52,26,29,45,20,00,   
130,2.18,SS,03,4,00,10,00,07,02,22,09,35,87,09,04,20,00,99
130,0.39,SS,20,4,00,10,00,,,15,07,34,88,08,04,20,00,   
131,0.50,SL2,03,4,00,10,00,07,02,16,07,36,89,06,05,20,00,99
131,0.30,SL2,20,4,00,10,00,,,14,06,36,89,06,05,20,00,   
132,1.00,LS3,03,2,00,10,00,05,02,30,17,47,42,36,22,20,00,99
132,0.37,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
133,1.40,SL3,03,3,00,10,00,13,02,24,10,40,73,18,09,20,00,99
133,0.70,SL3,20,2,00,10,00,,,21,10,48,73,18,09,20,00,   
134,0.74,LS3,03,2,00,10,00,06,02,29,17,47,41,37,22,20,00,99
134,0.36,LU,20,2,00,10,00,,,29,20,49,37,34,29,20,00,   
135,0.83,LS4,03,2,00,10,00,06,02,29,16,48,47,29,24,20,00,99
135,0.28,LTS,20,2,00,10,00,,,30,19,50,39,27,34,20,00,   
136,1.40,SL3,03,3,00,10,00,02,01,24,10,40,73,18,09,20,00,99
137,4.54,TL,03,1,00,10,00,07,02,44,25,68,17,29,54,20,00,99
137,1.23,TL,20,1,00,10,00,,,41,24,54,22,25,53,20,00,   
138,39.4,LT2,03,1,00,10,00,07,02,38,18,91,35,33,32,20,00,99
138,38.5,LU,20,1,00,10,00,,,36,15,91,52,23,25,20,00,   
139,1.00,LS3,03,2,00,10,00,06,02,30,17,47,42,36,22,20,00,99
139,0.37,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
140,4.59,LS2,03,1,00,10,00,07,02,34,15,68,38,42,20,20,00,99
140,0.67,LT2,20,2,00,10,00,,,31,19,49,38,32,30,20,00,   
141,1.65,LS3,03,2,00,10,00,06,02,32,17,48,39,39,22,20,00,99
141,0.69,LU,20,2,00,10,00,,,31,19,49,37,35,28,20,00,   
142,0.50,SL2,03,4,00,10,00,06,02,16,07,36,89,06,05,20,00,99
142,0.30,SL2,20,4,00,10,00,,,14,06,36,89,06,05,20,00,   
143,4.59,US,03,1,00,10,00,03,01,31,08,68,45,52,03,20,00,99
144,0.74,LS3,03,2,00,10,00,15,02,29,17,47,41,37,22,20,00,99
144,0.36,LU,20,2,00,10,00,,,29,20,49,37,34,29,20,00,   
145,2.27,TU2,03,1,00,10,00,07,02,43,28,55,08,34,58,20,00,99
145,2.50,TU2,20,1,00,10,00,,,43,27,55,11,32,57,20,00,   
146,0.97,TU2,03,1,00,10,00,13,02,38,26,54,14,39,47,20,00,99
146,0.45,TU2,20,1,00,10,00,,,35,27,53,15,40,45,20,00,   
147,1.17,TL,03,1,00,10,00,13,02,39,24,53,23,29,48,20,00,99
147,0.57,TL,20,1,00,10,00,,,36,23,52,26,29,45,20,00,   
148,2.13,LS2,03,2,00,10,00,05,02,32,16,47,37,44,19,20,00,99
148,1.92,LS2,20,1,00,10,00,,,32,16,59,37,44,19,20,00,   
149,1.30,TU3,03,1,00,10,00,10,02,35,23,51,13,56,31,20,00,99
149,0.44,TU3,20,1,00,10,00,,,34,29,53,06,56,38,20,00,   
150,0.93,TL,03,1,00,10,00,13,02,40,24,53,25,22,53,20,00,99
150,0.54,TL,20,1,00,10,00,,,40,24,54,23,21,56,20,00,   
151,1.30,LS2,03,2,00,10,00,05,02,30,16,46,41,40,19,20,00,99
151,0.44,LS3,20,2,00,10,00,,,27,17,46,44,37,19,20,00,   
152,3.12,TL,03,1,00,10,00,13,02,43,25,64,18,29,53,20,00,99
152,1.07,LTS,20,1,00,10,00,,,36,21,52,31,27,42,20,00,   
153,2.27,TL,03,1,00,10,00,13,02,43,26,54,15,29,56,20,00,99
153,0.81,TL,20,1,00,10,00,,,39,24,53,24,24,52,20,00,   
154,1.64,LU,03,2,00,10,00,13,02,33,18,49,34,41,25,20,00,99
154,0.78,LU,20,2,00,10,00,,,32,20,49,34,37,29,20,00,   
155,0.70,SL3,03,3,00,10,00,05,02,21,09,40,77,14,09,20,00,99
155,0.40,LS4,20,2,00,10,00,,,22,11,44,67,16,17,20,00,   
156,0.74,LS3,03,2,00,10,00,07,02,29,17,47,41,37,22,20,00,99
156,0.36,LU,20,2,00,10,00,,,29,20,49,37,34,29,20,00,   
157,2.78,TU2,03,1,00,10,00,13,02,43,26,54,15,31,54,20,00,99
157,1.36,TL,20,1,00,10,00,,,40,24,53,22,27,51,20,00,   
